Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
LGA,ATL,17173288,40.77719879,-73.87259674,33.6366996765137,-84.4281005859375
ATL,LGA,17156648,33.6366996765137,-84.4281005859375,40.77719879,-73.87259674
FLL,ATL,17148742,26.0725994110107,-80.152702331543,33.6366996765137,-84.4281005859375
ORD,DFW,16618226,41.97859955,-87.90480042,32.896800994873,-97.0380020141602
DFW,LAX,16502303,32.896800994873,-97.0380020141602,33.94250107,-118.4079971
ATL,ORD,16479809,33.6366996765137,-84.4281005859375,41.97859955,-87.90480042
ORD,ATL,16426251,41.97859955,-87.90480042,33.6366996765137,-84.4281005859375
DFW,ORD,16405044,32.896800994873,-97.0380020141602,41.97859955,-87.90480042
LAX,DFW,16068593,33.94250107,-118.4079971,32.896800994873,-97.0380020141602
HNL,SFO,16047465,21.3187007904053,-157.921997070312,37.6189994812012,-122.375
SFO,HNL,15954799,37.6189994812012,-122.375,21.3187007904053,-157.921997070312
ORD,MSP,15686177,41.97859955,-87.90480042,44.8819999695,-93.2218017578
EWR,ORD,15639429,40.6925010681152,-74.168701171875,41.97859955,-87.90480042
LGA,BOS,15630422,40.77719879,-73.87259674,42.36429977,-71.00520325
MSP,ORD,15615163,44.8819999695,-93.2218017578,41.97859955,-87.90480042
BOS,LGA,15612064,42.36429977,-71.00520325,40.77719879,-73.87259674
ATL,MIA,15529183,33.6366996765137,-84.4281005859375,25.7931995391846,-80.2906036376953
ORD,EWR,15483336,41.97859955,-87.90480042,40.6925010681152,-74.168701171875
LAX,OAK,15225696,33.94250107,-118.4079971,37.7212982177734,-122.221000671387
OAK,LAX,15203865,37.7212982177734,-122.221000671387,33.94250107,-118.4079971
MIA,ATL,15186192,25.7931995391846,-80.2906036376953,33.6366996765137,-84.4281005859375
EWR,ATL,15031721,40.6925010681152,-74.168701171875,33.6366996765137,-84.4281005859375
ATL,EWR,15023406,33.6366996765137,-84.4281005859375,40.6925010681152,-74.168701171875
ORD,BOS,14745768,41.97859955,-87.90480042,42.36429977,-71.00520325
DCA,LGA,14745621,38.8521,-77.037697,40.77719879,-73.87259674
LGA,DCA,14726036,40.77719879,-73.87259674,38.8521,-77.037697
PHX,SAN,14721976,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441
BOS,ORD,14584621,42.36429977,-71.00520325,41.97859955,-87.90480042
SAN,PHX,14555621,32.7336006165,-117.190002441,33.4342994689941,-112.012001037598
SEA,LAX,14483122,47.4490013122559,-122.30899810791,33.94250107,-118.4079971
ANC,SEA,14299272,61.1744003295898,-149.996002197266,47.4490013122559,-122.30899810791
LAX,SEA,14237570,33.94250107,-118.4079971,47.4490013122559,-122.30899810791
SFO,SEA,14226706,37.6189994812012,-122.375,47.4490013122559,-122.30899810791
SEA,ANC,14167964,47.4490013122559,-122.30899810791,61.1744003295898,-149.996002197266
SFO,JFK,14154457,37.6189994812012,-122.375,40.63980103,-73.77890015
DTW,ORD,14125565,42.2123985290527,-83.353401184082,41.97859955,-87.90480042
SEA,SFO,14063217,47.4490013122559,-122.30899810791,37.6189994812012,-122.375
ORD,DTW,13957432,41.97859955,-87.90480042,42.2123985290527,-83.353401184082
JFK,SFO,13699571,40.63980103,-73.77890015,37.6189994812012,-122.375
LAS,DFW,13596789,36.08010101,-115.1520004,32.896800994873,-97.0380020141602
DFW,LAS,13595587,32.896800994873,-97.0380020141602,36.08010101,-115.1520004
LAX,ATL,13517870,33.94250107,-118.4079971,33.6366996765137,-84.4281005859375
ORD,PHX,13513776,41.97859955,-87.90480042,33.4342994689941,-112.012001037598
ORD,DCA,13404475,41.97859955,-87.90480042,38.8521,-77.037697
PHL,ATL,13287369,39.871898651123,-75.241096496582,33.6366996765137,-84.4281005859375
DCA,ORD,13285576,38.8521,-77.037697,41.97859955,-87.90480042
PHX,ORD,13257674,33.4342994689941,-112.012001037598,41.97859955,-87.90480042
ATL,PHL,13249044,33.6366996765137,-84.4281005859375,39.871898651123,-75.241096496582
ATL,LAX,13144214,33.6366996765137,-84.4281005859375,33.94250107,-118.4079971
ATL,BOS,13092014,33.6366996765137,-84.4281005859375,42.36429977,-71.00520325
LAS,ORD,12863135,36.08010101,-115.1520004,41.97859955,-87.90480042
HNL,ITO,12753744,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
SAT,DFW,12717893,29.5337009429932,-98.4698028564453,32.896800994873,-97.0380020141602
DFW,IAH,12712782,32.896800994873,-97.0380020141602,29.9843997955322,-95.3414001464844
ORD,LAS,12675145,41.97859955,-87.90480042,36.08010101,-115.1520004
IAH,DFW,12673101,29.9843997955322,-95.3414001464844,32.896800994873,-97.0380020141602
DFW,PHX,12661902,32.896800994873,-97.0380020141602,33.4342994689941,-112.012001037598
BOS,ATL,12604462,42.36429977,-71.00520325,33.6366996765137,-84.4281005859375
DFW,SAT,12582689,32.896800994873,-97.0380020141602,29.5337009429932,-98.4698028564453
PHL,ORD,12512148,39.871898651123,-75.241096496582,41.97859955,-87.90480042
ORD,PHL,12490719,41.97859955,-87.90480042,39.871898651123,-75.241096496582
AUS,DFW,12374809,30.1944999694824,-97.6698989868164,32.896800994873,-97.0380020141602
ORD,SEA,12293399,41.97859955,-87.90480042,47.4490013122559,-122.30899810791
EWR,MCO,12277114,40.6925010681152,-74.168701171875,28.4293994903564,-81.3089981079102
ITO,HNL,12257764,19.721399307251,-155.048004150391,21.3187007904053,-157.921997070312
PHX,DFW,12195703,33.4342994689941,-112.012001037598,32.896800994873,-97.0380020141602
DFW,AUS,12044669,32.896800994873,-97.0380020141602,30.1944999694824,-97.6698989868164
MCO,EWR,11927252,28.4293994903564,-81.3089981079102,40.6925010681152,-74.168701171875
SEA,ORD,11910877,47.4490013122559,-122.30899810791,41.97859955,-87.90480042
ATL,JAX,11846918,33.6366996765137,-84.4281005859375,30.4941005706787,-81.6878967285156
LAS,SFO,11836319,36.08010101,-115.1520004,37.6189994812012,-122.375
JAX,ATL,11668352,30.4941005706787,-81.6878967285156,33.6366996765137,-84.4281005859375
LAX,SJC,11660997,33.94250107,-118.4079971,37.3625984191895,-121.929000854492
SFO,LAS,11648707,37.6189994812012,-122.375,36.08010101,-115.1520004
DCA,ATL,11617027,38.8521,-77.037697,33.6366996765137,-84.4281005859375
SJC,LAX,11616097,37.3625984191895,-121.929000854492,33.94250107,-118.4079971
ATL,DCA,11557164,33.6366996765137,-84.4281005859375,38.8521,-77.037697
MSP,DTW,11528072,44.8819999695,-93.2218017578,42.2123985290527,-83.353401184082
DTW,MSP,11386479,42.2123985290527,-83.353401184082,44.8819999695,-93.2218017578
STL,ORD,11287908,38.7486991882324,-90.370002746582,41.97859955,-87.90480042
ORD,STL,11281189,41.97859955,-87.90480042,38.7486991882324,-90.370002746582
ABQ,PHX,11271129,35.0401992797852,-106.609001159668,33.4342994689941,-112.012001037598
SAN,SFO,11154962,32.7336006165,-117.190002441,37.6189994812012,-122.375
LGA,DFW,11079660,40.77719879,-73.87259674,32.896800994873,-97.0380020141602
PHX,ABQ,11038853,33.4342994689941,-112.012001037598,35.0401992797852,-106.609001159668
SFO,SAN,11002623,37.6189994812012,-122.375,32.7336006165,-117.190002441
MCO,DFW,10950445,28.4293994903564,-81.3089981079102,32.896800994873,-97.0380020141602
LGA,FLL,10826224,40.77719879,-73.87259674,26.0725994110107,-80.152702331543
DFW,LGA,10814112,32.896800994873,-97.0380020141602,40.77719879,-73.87259674
MIA,JFK,10703302,25.7931995391846,-80.2906036376953,40.63980103,-73.77890015
JFK,MIA,10678202,40.63980103,-73.77890015,25.7931995391846,-80.2906036376953
FLL,LGA,10651817,26.0725994110107,-80.152702331543,40.77719879,-73.87259674
ORD,MIA,10635804,41.97859955,-87.90480042,25.7931995391846,-80.2906036376953
DFW,MCO,10579688,32.896800994873,-97.0380020141602,28.4293994903564,-81.3089981079102
MIA,ORD,10485681,25.7931995391846,-80.2906036376953,41.97859955,-87.90480042
LAX,EWR,10440666,33.94250107,-118.4079971,40.6925010681152,-74.168701171875
PHL,MCO,10424538,39.871898651123,-75.241096496582,28.4293994903564,-81.3089981079102
MCO,PHL,10337032,28.4293994903564,-81.3089981079102,39.871898651123,-75.241096496582
DFW,SFO,10219362,32.896800994873,-97.0380020141602,37.6189994812012,-122.375
SLC,LAX,10158807,40.7883987426758,-111.977996826172,33.94250107,-118.4079971
ORD,MCO,10086608,41.97859955,-87.90480042,28.4293994903564,-81.3089981079102
ATL,SLC,10075468,33.6366996765137,-84.4281005859375,40.7883987426758,-111.977996826172
ATL,RDU,10064122,33.6366996765137,-84.4281005859375,35.8776016235352,-78.7874984741211
LAX,SLC,10029583,33.94250107,-118.4079971,40.7883987426758,-111.977996826172
MSY,HOU,10017184,29.9934005737305,-90.2580032348633,29.64539909,-95.27890015
ATL,BWI,10010118,33.6366996765137,-84.4281005859375,39.17539978,-76.66829681
GEG,SEA,9958427,47.6198997497559,-117.533996582031,47.4490013122559,-122.30899810791
ATL,DTW,9948528,33.6366996765137,-84.4281005859375,42.2123985290527,-83.353401184082
HOU,MSY,9948347,29.64539909,-95.27890015,29.9934005737305,-90.2580032348633
LAS,SAN,9936117,36.08010101,-115.1520004,32.7336006165,-117.190002441
SFO,DFW,9921632,37.6189994812012,-122.375,32.896800994873,-97.0380020141602
RDU,ATL,9892932,35.8776016235352,-78.7874984741211,33.6366996765137,-84.4281005859375
EWR,LAX,9875729,40.6925010681152,-74.168701171875,33.94250107,-118.4079971
ATL,MSY,9870744,33.6366996765137,-84.4281005859375,29.9934005737305,-90.2580032348633
SAN,LAS,9868441,32.7336006165,-117.190002441,36.08010101,-115.1520004
SEA,GEG,9838226,47.4490013122559,-122.30899810791,47.6198997497559,-117.533996582031
MSY,ATL,9829428,29.9934005737305,-90.2580032348633,33.6366996765137,-84.4281005859375
DTW,ATL,9814086,42.2123985290527,-83.353401184082,33.6366996765137,-84.4281005859375
MIA,DFW,9809948,25.7931995391846,-80.2906036376953,32.896800994873,-97.0380020141602
SLC,PHX,9797898,40.7883987426758,-111.977996826172,33.4342994689941,-112.012001037598
MCO,ORD,9788991,28.4293994903564,-81.3089981079102,41.97859955,-87.90480042
BWI,ATL,9741005,39.17539978,-76.66829681,33.6366996765137,-84.4281005859375
IAD,ATL,9728089,38.94449997,-77.45580292,33.6366996765137,-84.4281005859375
PHX,SLC,9726086,33.4342994689941,-112.012001037598,40.7883987426758,-111.977996826172
ATL,IAD,9701464,33.6366996765137,-84.4281005859375,38.94449997,-77.45580292
PBI,ATL,9690057,26.6832008361816,-80.0955963134766,33.6366996765137,-84.4281005859375
LAX,IAD,9658726,33.94250107,-118.4079971,38.94449997,-77.45580292
ATL,PBI,9520599,33.6366996765137,-84.4281005859375,26.6832008361816,-80.0955963134766
IAH,LAX,9517607,29.9843997955322,-95.3414001464844,33.94250107,-118.4079971
DFW,MIA,9511103,32.896800994873,-97.0380020141602,25.7931995391846,-80.2906036376953
ORD,IAH,9493297,41.97859955,-87.90480042,29.9843997955322,-95.3414001464844
SLC,LAS,9490395,40.7883987426758,-111.977996826172,36.08010101,-115.1520004
IAH,ORD,9489678,29.9843997955322,-95.3414001464844,41.97859955,-87.90480042
LAS,SLC,9416283,36.08010101,-115.1520004,40.7883987426758,-111.977996826172
PHX,SFO,9369991,33.4342994689941,-112.012001037598,37.6189994812012,-122.375
LAX,IAH,9349264,33.94250107,-118.4079971,29.9843997955322,-95.3414001464844
IAD,LAX,9310551,38.94449997,-77.45580292,33.94250107,-118.4079971
LAS,RNO,9272468,36.08010101,-115.1520004,39.4990997314453,-119.767997741699
DCA,BOS,9252737,38.8521,-77.037697,42.36429977,-71.00520325
PDX,SEA,9251129,45.58869934,-122.5979996,47.4490013122559,-122.30899810791
MIA,LGA,9238181,25.7931995391846,-80.2906036376953,40.77719879,-73.87259674
PHL,BOS,9234442,39.871898651123,-75.241096496582,42.36429977,-71.00520325
MSP,PHX,9224719,44.8819999695,-93.2218017578,33.4342994689941,-112.012001037598
SEA,PDX,9224642,47.4490013122559,-122.30899810791,45.58869934,-122.5979996
SFO,PHX,9195460,37.6189994812012,-122.375,33.4342994689941,-112.012001037598
BOS,DCA,9173177,42.36429977,-71.00520325,38.8521,-77.037697
DTW,MCO,9163721,42.2123985290527,-83.353401184082,28.4293994903564,-81.3089981079102
DFW,SAN,9163660,32.896800994873,-97.0380020141602,32.7336006165,-117.190002441
BOS,PHL,9144976,42.36429977,-71.00520325,39.871898651123,-75.241096496582
RNO,LAS,9085793,39.4990997314453,-119.767997741699,36.08010101,-115.1520004
MCO,DTW,9069258,28.4293994903564,-81.3089981079102,42.2123985290527,-83.353401184082
