Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
SLC,SNA,3110440,32359,4536561,0.6856383061971392,40.7883987426758,-111.977996826172,33.67570114,-117.8679962,Sovra-Utilizzata
TUS,LAS,3110427,33926,4407824,0.7056604347179016,32.1161003112793,-110.94100189209,36.08010101,-115.1520004,Sovra-Utilizzata
IAH,MSP,3108687,44843,4802362,0.6473245873593036,29.9843997955322,-95.3414001464844,44.8819999695,-93.2218017578,Sovra-Utilizzata
JAX,DFW,3108611,34002,4533092,0.6857595213156936,30.4941005706787,-81.6878967285156,32.896800994873,-97.0380020141602,Sovra-Utilizzata
SMF,SLC,3106662,33228,4258907,0.7294505374266215,38.6954002380371,-121.591003417969,40.7883987426758,-111.977996826172,Sovra-Utilizzata
MSP,OMA,3104242,47521,4964795,0.6252507908181506,44.8819999695,-93.2218017578,41.3031997680664,-95.8940963745117,Sotto-Utilizzata
CID,ORD,3103601,72298,5155536,0.6019938567008357,41.8847007751465,-91.7108001708984,41.97859955,-87.90480042,Sotto-Utilizzata
JFK,BUF,3103156,36639,4113939,0.7543028712871046,40.63980103,-73.77890015,42.94049835,-78.73220062,Sovra-Utilizzata
STL,OMA,3101797,37273,4786152,0.6480774116659898,38.7486991882324,-90.370002746582,41.3031997680664,-95.8940963745117,Sovra-Utilizzata
OAK,RNO,3094391,38742,5189243,0.5963087486941737,37.7212982177734,-122.221000671387,39.4990997314453,-119.767997741699,Sotto-Utilizzata
ATL,AUS,3094347,37028,4531486,0.6828548074516836,33.6366996765137,-84.4281005859375,30.1944999694824,-97.6698989868164,Sovra-Utilizzata
MCO,RDU,3092839,39475,4334772,0.713495196517833,28.4293994903564,-81.3089981079102,35.8776016235352,-78.7874984741211,Sovra-Utilizzata
AUS,ATL,3089051,36703,4459202,0.6927362788229823,30.1944999694824,-97.6698989868164,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
BOS,IAH,3083359,33038,4321845,0.7134358127142458,42.36429977,-71.00520325,29.9843997955322,-95.3414001464844,Sovra-Utilizzata
LAX,PIT,3082970,23862,4024969,0.7659611788314394,33.94250107,-118.4079971,40.49150085,-80.23290253,Sovra-Utilizzata
GSO,CLT,3079338,53659,5290258,0.5820770934045183,36.0978012084961,-79.9373016357422,35.2140007019043,-80.9430999755859,Sotto-Utilizzata
MSP,IAH,3076899,44818,4818046,0.638619681090633,44.8819999695,-93.2218017578,29.9843997955322,-95.3414001464844,Sovra-Utilizzata
IND,CLT,3062646,40033,4540519,0.6745145213575805,39.7173,-86.294403,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
BDL,PHL,3062034,45635,5462279,0.5605781030225663,41.9388999939,-72.6831970215,39.871898651123,-75.241096496582,Sotto-Utilizzata
DTW,PIT,3059546,68014,6033547,0.5070891135844305,42.2123985290527,-83.353401184082,40.49150085,-80.23290253,Sotto-Utilizzata
IAH,CLT,3049628,48056,4648878,0.6559922630793925,29.9843997955322,-95.3414001464844,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
SNA,SLC,3045599,31820,4439547,0.6860157128643981,33.67570114,-117.8679962,40.7883987426758,-111.977996826172,Sovra-Utilizzata
CLE,LAS,3043468,23373,3613098,0.8423430529700551,41.4117012024,-81.8498001099,36.08010101,-115.1520004,Sovra-Utilizzata
OMA,MSP,3040319,47558,4972103,0.6114754662162067,41.3031997680664,-95.8940963745117,44.8819999695,-93.2218017578,Sotto-Utilizzata
LAS,SAT,3038090,30467,4015428,0.7566042773024445,36.08010101,-115.1520004,29.5337009429932,-98.4698028564453,Sovra-Utilizzata
ILM,CLT,3019456,47143,4666162,0.6470962645531809,34.2705993652344,-77.9026031494141,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
MSY,MCO,3008182,36368,4442654,0.6771137252642226,29.9934005737305,-90.2580032348633,28.4293994903564,-81.3089981079102,Sovra-Utilizzata
MCO,MSY,3005712,36513,4564181,0.6585435590744538,28.4293994903564,-81.3089981079102,29.9934005737305,-90.2580032348633,Sovra-Utilizzata
MSY,BHM,3001895,37190,4809195,0.6241990603416996,29.9934005737305,-90.2580032348633,33.56290054,-86.75350189,Sotto-Utilizzata
LAS,TUS,2997535,33691,4363945,0.6868865212554237,36.08010101,-115.1520004,32.1161003112793,-110.94100189209,Sovra-Utilizzata
MSY,DAL,2992955,33043,4274280,0.7002243652732156,29.9934005737305,-90.2580032348633,32.8470993041992,-96.8517990112305,Sovra-Utilizzata
CLT,IAH,2987816,47388,4590078,0.6509292434681938,35.2140007019043,-80.9430999755859,29.9843997955322,-95.3414001464844,Sovra-Utilizzata
TPA,CVG,2987170,29505,4030985,0.7410521249768977,27.9755001068115,-82.533203125,39.0488014221,-84.6678009033,Sovra-Utilizzata
JFK,SLC,2975074,20968,3893582,0.7640969164127017,40.63980103,-73.77890015,40.7883987426758,-111.977996826172,Sovra-Utilizzata
ABQ,STL,2962959,30446,4303207,0.6885467048180578,35.0401992797852,-106.609001159668,38.7486991882324,-90.370002746582,Sovra-Utilizzata
BHM,MSY,2962736,37105,4856657,0.6100360803738044,33.56290054,-86.75350189,29.9934005737305,-90.2580032348633,Sotto-Utilizzata
RNO,SLC,2962456,36960,4060254,0.7296233191322513,39.4990997314453,-119.767997741699,40.7883987426758,-111.977996826172,Sovra-Utilizzata
DAY,ORD,2961817,64233,5433224,0.5451306627519866,39.902400970459,-84.2193984985352,41.97859955,-87.90480042,Sotto-Utilizzata
DFW,ICT,2959731,72455,5466995,0.5413816914045102,32.896800994873,-97.0380020141602,37.6498985290527,-97.4330978393555,Sotto-Utilizzata
SLC,JFK,2959625,20902,3884903,0.7618272579778698,40.7883987426758,-111.977996826172,40.63980103,-73.77890015,Sovra-Utilizzata
ICT,DFW,2959116,72353,5472409,0.5407337061246701,37.6498985290527,-97.4330978393555,32.896800994873,-97.0380020141602,Sotto-Utilizzata
LBB,DFW,2955397,75365,4761182,0.6207275840327044,33.6636009216309,-101.822998046875,32.896800994873,-97.0380020141602,Sotto-Utilizzata
CVG,TPA,2954600,27695,3880772,0.7613433615785725,39.0488014221,-84.6678009033,27.9755001068115,-82.533203125,Sovra-Utilizzata
CMH,PHX,2951249,25829,3834614,0.7696339188246848,39.9980010986328,-82.8918991088867,33.4342994689941,-112.012001037598,Sovra-Utilizzata
LEX,ATL,2950274,50196,4585001,0.6434620188741508,38.0364990234375,-84.6059036254883,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
CLT,ILM,2941818,47199,4670588,0.6298603088090836,35.2140007019043,-80.9430999755859,34.2705993652344,-77.9026031494141,Sotto-Utilizzata
ORD,DAY,2938698,64360,5436979,0.5405019956854716,41.97859955,-87.90480042,39.902400970459,-84.2193984985352,Sotto-Utilizzata
DFW,JAX,2935880,32659,4416203,0.6647973383469917,32.896800994873,-97.0380020141602,30.4941005706787,-81.6878967285156,Sovra-Utilizzata
RNO,DFW,2925168,28770,4155203,0.7039771582760217,39.4990997314453,-119.767997741699,32.896800994873,-97.0380020141602,Sovra-Utilizzata
CVG,DCA,2924867,39589,5021535,0.5824647244318719,39.0488014221,-84.6678009033,38.8521,-77.037697,Sotto-Utilizzata
ORD,MDT,2919992,51664,4915316,0.5940598732614546,41.97859955,-87.90480042,40.1935005188,-76.7633972168,Sotto-Utilizzata
BDL,CLT,2919044,29449,4015205,0.726997500750273,41.9388999939,-72.6831970215,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
OMA,MDW,2918457,33336,4421260,0.6600962169155399,41.3031997680664,-95.8940963745117,41.7859992980957,-87.7524032592773,Sovra-Utilizzata
DAL,MSY,2913190,33133,4321002,0.6741931616787032,32.8470993041992,-96.8517990112305,29.9934005737305,-90.2580032348633,Sovra-Utilizzata
DFW,RNO,2902276,27375,3955892,0.7336590584373891,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699,Sovra-Utilizzata
PIT,SFO,2902207,24259,3756511,0.7725804609649752,40.49150085,-80.23290253,37.6189994812012,-122.375,Sovra-Utilizzata
LAX,MCI,2899624,32098,4158822,0.6972224346221118,33.94250107,-118.4079971,39.2976,-94.713898,Sovra-Utilizzata
CVG,MSP,2897528,60694,5086919,0.569603722803528,39.0488014221,-84.6678009033,44.8819999695,-93.2218017578,Sotto-Utilizzata
