Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
FLL,BWI,3543085,36711,4791705,0.7394205194184533,26.0725994110107,-80.152702331543,39.17539978,-76.66829681,Sovra-Utilizzata
HSV,ATL,3533371,55162,5784937,0.6107881555149175,34.637199401855,-86.775100708008,33.6366996765137,-84.4281005859375,Sotto-Utilizzata
OKC,STL,3524897,48307,5765095,0.6114204536091773,35.3931007385254,-97.600700378418,38.7486991882324,-90.370002746582,Sotto-Utilizzata
MCO,DCA,3522964,38766,5014562,0.7025467029822345,28.4293994903564,-81.3089981079102,38.8521,-77.037697,Sovra-Utilizzata
PHX,MDW,3516595,30117,4611289,0.7626056402016876,33.4342994689941,-112.012001037598,41.7859992980957,-87.7524032592773,Sovra-Utilizzata
DAL,MAF,3513881,48025,6215130,0.5653753018842728,32.8470993041992,-96.8517990112305,31.9424991607666,-102.202003479004,Sotto-Utilizzata
BWI,IAH,3501687,32478,4453452,0.7862860091452653,39.17539978,-76.66829681,29.9843997955322,-95.3414001464844,Sovra-Utilizzata
MSP,SAN,3492543,27518,4312926,0.8097850507984603,44.8819999695,-93.2218017578,32.7336006165,-117.190002441,Sovra-Utilizzata
PIT,DFW,3492096,45711,5375252,0.6496618205062757,40.49150085,-80.23290253,32.896800994873,-97.0380020141602,Sovra-Utilizzata
IND,MCO,3490974,33879,4703096,0.7422714739397197,39.7173,-86.294403,28.4293994903564,-81.3089981079102,Sovra-Utilizzata
BWI,PIT,3489980,41392,5556742,0.6280622710214007,39.17539978,-76.66829681,40.49150085,-80.23290253,Sotto-Utilizzata
ALB,ORD,3487776,51736,5214221,0.668896849596517,42.7482986450195,-73.8016967773438,41.97859955,-87.90480042,Sovra-Utilizzata
IAH,BWI,3474557,32618,4477345,0.7760306610279083,29.9843997955322,-95.3414001464844,39.17539978,-76.66829681,Sovra-Utilizzata
JAN,ATL,3471025,46151,5179665,0.6701253845567232,32.3111991882,-90.0758972168,33.6366996765137,-84.4281005859375,Sovra-Utilizzata
STL,OKC,3470899,48261,5778116,0.6006973553317378,38.7486991882324,-90.370002746582,35.3931007385254,-97.600700378418,Sotto-Utilizzata
STL,TUL,3465894,51871,6213026,0.5578431508253788,38.7486991882324,-90.370002746582,36.1983985900879,-95.8880996704102,Sotto-Utilizzata
SAT,ORD,3462069,42480,4934991,0.7015350179969934,29.5337009429932,-98.4698028564453,41.97859955,-87.90480042,Sovra-Utilizzata
LAX,CLT,3450762,25921,4484177,0.7695418802603019,33.94250107,-118.4079971,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
ORD,ALB,3449797,51985,5222830,0.660522551949805,41.97859955,-87.90480042,42.7482986450195,-73.8016967773438,Sovra-Utilizzata
